name,n_syllable,cnt,male_cnt,female_cnt
Simone,3,7474,91,7383
Karina,3,21515,10,21505
Terence,3,2124,2124,0
Kamari,3,7450,4767,2683
Yaseen,3,1320,1320,0
Yehuda,3,2713,2713,0
Kalani,3,3031,1031,2000
Zaniya,3,2496,0,2496
Shamari,3,1048,421,627
Ailani,3,1215,0,1215
Aiyanna,3,2925,0,2925
Kailani,3,2342,17,2325
Anaiya,3,1501,0,1501
Ananya,3,2565,0,2565
Angelie,3,1250,0,1250
Demari,3,1417,1254,163
Annika,3,11674,0,11674
Julien,3,5946,5858,88
Bianka,3,1117,0,1117
Candace,3,3513,0,3513
Aiyana,3,5934,0,5934
Candice,3,3120,0,3120
Selena,3,17292,23,17269
Santana,3,3697,2384,1313
Makena,3,4200,40,4160
Malachi,3,32589,32434,155
Malakai,3,4726,4710,16
Malika,3,1087,11,1076
Malique,3,1020,1014,6
Marian,3,2983,12,2971
Maximo,3,3115,3115,0
Michele,3,2218,202,2016
Lucien,3,1879,1874,5
Lucian,3,4010,3999,11
Keenan,3,5045,4965,80
Miranda,3,31197,34,31163
Leilani,3,16121,19,16102
Natalie,3,134998,183,134815
Natasha,3,12406,7,12399
Nayeli,3,13372,14,13358
Pierce,3,7931,7796,135
Pierre,3,2755,2755,0
Rihanna,3,5012,5,5007
Kennedi,3,7856,15,7841
Samari,3,1311,441,870
Kemari,3,1171,863,308
Monica,3,18227,15,18212
Carina,3,4860,0,4860
Zariya,3,1023,0,1023
Julisa,3,2083,0,2083
Dianna,3,2732,0,2732
Fatima,3,19064,23,19041
Helena,3,7725,0,7725
Jianna,3,1663,0,1663
Julieta,3,2783,0,2783
Keyanna,3,1373,0,1373
Keyana,3,1294,0,1294
Kennadi,3,1291,0,1291
Enrique,3,16986,16970,16
Kalena,3,1085,0,1085
Kalina,3,1715,0,1715
Kenadie,3,1417,0,1417
Kamila,3,6600,0,6600
Kamiya,3,1735,0,1735
Kaniya,3,1933,0,1933
Kenadi,3,1095,0,1095
Keanna,3,1334,0,1334
Dayanna,3,2085,0,2085
Dayana,3,7872,0,7872
Delanie,3,2452,0,2452
Danika,3,5795,0,5795
Denise,3,11289,23,11266
Celina,3,3233,0,3233
Celine,3,4258,0,4258
Cheyanne,3,7421,0,7421
Cianna,3,1752,0,1752
Cienna,3,1632,0,1632
Leanne,3,2229,0,2229
Dalila,3,2293,0,2293
Leanna,3,5787,0,5787
Daniya,3,1161,0,1161
Laniya,3,2381,0,2381
Desean,3,1727,1727,0
Desire,3,1795,11,1784
Danica,3,8284,0,8284
Katelin,3,2983,0,2983
Madeleine,4,15969,5,15964
Lilianna,4,4582,0,4582
Angelina,4,55400,55,55345
Tatianna,4,2967,0,2967
Maximilian,4,8282,8282,0
Tatiyana,4,1270,0,1270
Angelica,4,22774,21,22753
Katerina,4,2839,0,2839
Madaline,4,1038,0,1038
Cataleya,4,2037,0,2037
Katarina,4,3507,0,3507
Julianna,4,25510,21,25489
Annelise,4,2822,0,2822
Annalise,4,6894,0,6894
Annalisa,4,1962,0,1962
Annaliese,4,2684,0,2684
Angelita,4,1044,0,1044
Angelique,4,8564,0,8564
Angeline,4,4503,0,4503
Angelika,4,1094,0,1094
Angelena,4,1030,0,1030
Fatoumata,4,1245,0,1245
Marisela,4,1623,0,1623
Julianne,4,5936,0,5936
Maricela,4,1973,0,1973
Marianne,4,1646,0,1646
Marianna,4,4914,0,4914
Catalina,4,6889,0,6889
Madeline,4,65309,94,65215
Katalina,4,2188,0,2188
Patience,4,5057,17,5040
Anneliese,4,2677,0,2677
