name,male_cnt,female_cnt
Airius,5,0
Airon,76,0
Airrion,11,0
Airyn,5,85
Aisa,5,211
Aisaiah,19,0
Aisea,63,0
Aisen,40,0
Aison,68,0
Aitan,60,0
Aithan,80,0
Aithen,40,0
Aitor,18,0
Aivan,63,0
Aiven,191,0
Aiyan,11,0
Aiydan,26,0
Aiyden,385,0
Aizayah,11,0
Aizeah,5,0
Aizel,5,0
Aizen,361,0
Aizik,201,0
Aj,950,17
Aja,20,2358
Ajaden,6,0
Ajae,11,24
Ajahni,72,0
Ajai,111,74
Ajak,16,0
Ajalon,7,12
Ajamu,5,0
Ajan,17,0
Ajani,1186,115
Ajavian,12,0
Ajavion,20,0
Ajax,135,0
Ajay,2136,5
Ajayceon,8,0
Ajayden,10,0
Ajaye,5,0
Ajdin,240,0
Ajeet,34,0
Ajene,5,5
Ajhani,5,0
Ajit,87,0
Ajitesh,10,0
Ajith,16,0
Ajmal,37,0
Ajon,33,0
Ajoni,10,0
Akaash,71,0
Akachi,5,0
Akadian,5,0
Akai,272,20
Akam,5,0
Akanni,11,0
Akari,166,357
Akarsh,29,0
Akash,1113,0
Akashdeep,45,0
Akayden,5,0
Akbar,131,0
Akeel,29,0
Akeem,1184,0
Akeen,32,0
Akeil,11,0
Akeim,10,0
Akemi,5,400
Aken,5,0
Akhari,11,0
Akheem,6,0
Akhi,5,0
Akhil,1172,0
Akhilesh,132,0
Akhilleus,6,0
Akhir,11,0
Aki,126,69
Akia,18,362
Akie,5,0
Akiel,35,0
Akif,82,0
Akihiro,11,0
Akil,570,0
Akilan,22,0
Akiles,38,0
Akilesh,5,0
Akili,136,149
Akilles,36,0
Akim,199,0
Akin,89,0
Aking,82,0
Akinola,5,0
Akio,175,0
Akir,48,0
Akira,522,3941
Akito,42,0
Akiva,985,62
Akmal,5,0
Akol,6,0
Akon,61,10
Akoni,87,0
Akos,5,0
Akram,453,0
Aksel,845,0
Aksh,63,0
Akshaj,404,0
Akshan,5,0
Akshar,253,0
Akshat,283,0
Akshath,111,0
Akshay,998,0
Akshit,20,0
Akshith,44,0
Akul,171,0
Akwasi,17,0
Akxel,25,0
Akzel,24,0
Al,419,0
Ala,18,166
Alaa,149,561
Alaan,13,0
Alac,5,0
Aladdin,36,0
Aladin,6,0
Alagie,6,0
Alai,6,5
Alaijah,5,494
Alain,961,0
Alajandro,7,0
Alakai,182,0
Alakay,13,0
Alaki,17,0
Alam,150,0
Alameen,15,0
Alamin,80,0
Alan,41846,133
Alana,12,26610
Aland,68,0
Alandis,29,0
Alando,49,0
Alandre,8,0
Alani,44,4609
Alanmichael,12,0
Alann,59,0
